,packet_count,packet_size,connection_duration,failed_logins,port_scan_count,bytes_sent,bytes_received,threat
0,112,1025,139,11,16,89714,51470,1
1,445,222,92,2,17,88216,34257,1
2,870,1022,280,4,17,56335,11422,1
3,280,403,125,10,16,14955,69912,1
4,116,78,111,11,11,36269,77942,1
5,81,536,139,11,3,46504,34117,1
6,710,1412,273,3,11,19669,56892,0
7,30,1021,99,12,19,54537,27842,1
8,624,960,252,3,14,48606,97236,1
9,131,1460,104,8,15,25838,64908,1
10,476,761,214,6,4,6872,17729,0
11,224,1224,249,3,14,90510,8345,1
12,340,55,152,2,16,19831,97050,1
13,468,532,250,5,17,10231,43970,1
14,97,1489,275,2,4,66424,95734,0
15,382,1171,165,5,12,54197,64929,0
16,109,933,8,10,18,81820,10688,1
17,881,350,284,12,12,96533,542,1
18,673,778,5,10,17,2989,77439,1
19,140,1233,145,12,13,9669,40821,1
20,671,585,101,12,3,87293,37245,1
21,318,453,164,11,3,75777,10699,1
22,779,290,147,8,19,85292,72694,1
23,353,798,64,5,19,87254,82842,1
24,501,1204,91,11,18,77570,77530,1
25,423,1337,117,3,12,88922,3039,1
26,815,1479,267,14,11,7712,22249,1
27,395,1102,173,4,6,51744,66667,0
28,201,853,47,12,11,32169,10308,1
29,965,68,140,5,3,81841,66198,1
30,286,997,246,10,1,27431,49592,1
31,170,516,149,2,1,55997,21051,0
32,469,357,246,7,4,14034,49020,0
33,323,284,5,3,9,10195,46866,0
34,31,787,184,7,9,91594,57114,1
35,262,736,20,9,8,18806,28451,1
36,757,311,46,9,12,43616,84316,1
37,866,1302,12,2,6,97108,49486,1
38,570,416,70,9,4,34729,87222,1
39,484,305,17,6,9,47010,9408,0
40,68,965,147,10,9,88640,59352,1
41,520,960,154,12,5,20531,75245,1
42,691,1422,108,11,18,56833,95131,1
43,485,379,236,8,7,40188,83311,0
44,709,428,70,3,0,44235,28164,0
45,985,616,183,7,16,38115,53979,1
46,792,42,250,2,6,31485,8820,0
47,199,1492,228,6,13,70299,43040,1
48,967,1205,102,2,16,38777,80093,1
49,696,415,75,11,8,12918,68575,1
50,967,363,216,14,16,88322,47213,1
51,572,185,203,14,4,63101,49026,1
52,885,332,192,6,19,24077,38303,1
53,576,471,249,13,7,49932,89001,1
54,253,744,242,10,5,41031,5492,1
55,841,988,179,9,10,84090,26005,1
56,514,624,219,9,18,78994,73608,1
57,140,438,82,10,3,72304,50485,1
58,494,856,92,10,17,45884,30753,1
59,828,1407,175,5,0,10021,91965,1
60,656,1003,239,1,12,35059,84820,0
61,30,1203,260,10,13,32428,14899,1
62,850,226,163,2,0,8959,60203,1
63,176,100,48,5,10,89606,15152,1
64,283,978,116,13,16,74508,6144,1
65,397,1443,225,3,3,84866,19971,1
66,610,749,147,5,11,26808,89403,0
67,325,846,63,0,9,18947,20334,0
68,23,1382,294,9,5,56089,21481,1
69,251,1365,13,11,0,92741,17374,1
70,786,1407,189,0,6,5022,87940,0
71,355,50,287,2,15,70028,83208,1
72,574,1125,208,7,13,52435,49992,1
73,907,265,114,7,19,13641,50621,1
74,349,1216,22,10,19,19651,91601,1
75,101,603,214,3,5,19481,84020,0
76,376,811,171,5,4,55773,83491,0
77,965,1373,54,14,17,23048,18020,1
78,464,924,298,7,14,92364,16802,1
79,437,1306,126,6,5,59172,1994,0
80,518,1429,277,10,18,67660,31085,1
81,785,1393,204,6,0,82349,28387,1
82,952,1170,194,12,0,2586,73627,1
83,44,265,169,3,12,66791,15539,0
84,215,864,152,8,2,10182,94720,0
85,90,257,35,11,9,84205,42335,1
86,941,976,184,9,2,7186,27759,1
87,571,792,286,5,8,67953,25076,0
88,881,545,57,13,7,70127,82743,1
89,397,298,222,11,2,16016,67965,1
90,11,93,163,10,12,15348,68406,1
91,399,1110,19,2,5,68147,56797,0
92,575,766,264,4,12,24326,70482,0
93,115,728,282,4,19,25125,16751,1
94,781,1162,113,13,19,48480,49144,1
95,831,1083,30,4,11,7948,14733,1
96,486,458,135,7,12,14374,79264,0
97,712,729,67,8,1,54645,669,0
98,411,889,65,12,15,96594,60000,1
99,739,101,292,8,5,35333,67609,0
